Atleta,Pontos,Media,Preco atual,Preco var,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
36443,2,2.84,8.76,-0.96,0.28,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.52,0.68,0.0,0.8
36443,2,2.81,8.77,0.01,0.2692307692307692,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.5,0.7307692307692307,0.0,0.8461538461538461
36443,-10.5,2.32,6.36,-2.41,0.25925925925925924,0.48148148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.07407407407407407,0.037037037037037035,0.48148148148148145,0.7407407407407407,0.0,0.9629629629629629
36522,9.2,9.2,17.98,-1.02,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36522,8.7,8.95,18.69,0.71,2.0,1.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36522,6.1,8.0,18.63,-0.06,2.0,2.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
36522,2.4,6.6,17.76,-0.87,2.0,1.5,0.0,0.25,0.25,0.75,0.5,0.25,0.0,0.75,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0
36522,13.1,7.9,19.49,1.73,2.0,1.8,0.2,0.2,0.2,0.6,0.6,0.2,0.0,0.6,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0
36522,2.8,7.05,18.24,-1.25,2.0,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.1666666666666667,0.5,0.16666666666666666,0.0,0.5,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
36522,4,6.61,18.44,0.2,2.2857142857142856,2.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.0,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
36522,20.2,8.31,21.83,3.39,2.25,2.25,0.25,0.25,0.625,0.875,0.5,0.125,0.0,0.625,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0
36522,-2.5,7.11,18.13,-3.7,2.111111111111111,2.4444444444444446,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.0,0.5555555555555556,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
36522,-2,6.2,17.88,-0.25,1.9,2.7,0.2,0.2,0.6,0.8,0.4,0.2,0.0,0.5,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0
36522,3.1,5.92,18.02,0.14,2.0,2.6363636363636362,0.18181818181818182,0.18181818181818182,0.7272727272727273,0.8181818181818182,0.36363636363636365,0.18181818181818182,0.0,0.45454545454545453,0.7272727272727273,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
36522,4.5,5.8,17.78,-0.24,1.9166666666666667,2.8333333333333335,0.25,0.16666666666666666,0.9166666666666666,0.75,0.3333333333333333,0.16666666666666666,0.0,0.4166666666666667,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
36522,-3.7,5.07,16.16,-1.62,1.8461538461538463,2.923076923076923,0.23076923076923078,0.15384615384615385,0.8461538461538461,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.0,0.38461538461538464,0.8461538461538461,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0
36522,6.8,5.19,17.87,1.71,1.8571428571428572,2.9285714285714284,0.2857142857142857,0.14285714285714285,0.7857142857142857,0.6428571428571429,0.2857142857142857,0.14285714285714285,0.0,0.42857142857142855,0.7857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
36522,2.6,5.02,17.17,-0.7,2.0,2.933333333333333,0.26666666666666666,0.13333333333333333,0.8666666666666667,0.6,0.26666666666666666,0.13333333333333333,0.0,0.4,0.8,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
36522,5.4,5.04,17.45,0.28,2.0625,2.875,0.3125,0.125,0.8125,0.5625,0.25,0.1875,0.0,0.375,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
36522,3.6,4.96,17.2,-0.25,1.9411764705882353,3.0,0.29411764705882354,0.11764705882352941,0.8823529411764706,0.6470588235294118,0.23529411764705882,0.17647058823529413,0.0,0.4117647058823529,0.7058823529411765,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0
36522,3.4,4.87,17.34,0.14,2.0,2.888888888888889,0.2777777777777778,0.1111111111111111,0.8888888888888888,0.6111111111111112,0.2222222222222222,0.2222222222222222,0.0,0.4444444444444444,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
36522,13.5,5.32,19.1,1.76,2.0526315789473686,2.8947368421052633,0.2631578947368421,0.10526315789473684,1.0,0.631578947368421,0.2631578947368421,0.21052631578947367,0.0,0.47368421052631576,0.6842105263157895,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0
36522,0.7,5.09,16.85,-2.25,1.95,2.8,0.25,0.1,1.0,0.6,0.25,0.2,0.0,0.45,0.65,0.0,0.2,0.0,0.0,0.0,0.0,0.0
36522,10.1,5.33,18.55,1.7,2.0476190476190474,2.761904761904762,0.23809523809523808,0.09523809523809523,0.9523809523809523,0.6190476190476191,0.2857142857142857,0.19047619047619047,0.0,0.42857142857142855,0.6190476190476191,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0
36540,2,2.0,12.88,-2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
36540,3.4,2.7,12.04,-0.84,0.5,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
